DD/MM/YYYY HH:MM (UTC),Latitude (decimal degrees),Longitude (decimal degrees),Significant Wave Height (m),Peak Period (s)
06/06/2017 06:00 (UTC),-68.4237289428711,-176.30197143554688,,
06/06/2017 06:15 (UTC),-68.42439270019531,-176.31027221679688,,
06/06/2017 06:30 (UTC),-68.42494201660156,-176.31863403320312,,
06/06/2017 06:45 (UTC),-68.4255142211914,-176.32786560058594,,
06/06/2017 07:00 (UTC),-68.4260482788086,-176.33668518066406,,
06/06/2017 07:15 (UTC),-68.42648315429688,-176.34585571289062,,
06/06/2017 07:30 (UTC),-68.42694854736328,-176.35507202148438,,
06/06/2017 07:45 (UTC),-68.42721557617188,-176.36453247070312,,
06/06/2017 08:00 (UTC),-68.42745971679688,-176.37423706054688,,
06/06/2017 08:15 (UTC),-68.427734375,-176.38412475585938,,
06/06/2017 08:30 (UTC),-68.42784118652344,-176.3939208984375,,
06/06/2017 08:45 (UTC),-68.4278793334961,-176.4037322998047,,
06/06/2017 09:00 (UTC),-68.42791748046875,-176.41317749023438,,
06/06/2017 09:15 (UTC),-68.42781829833984,-176.42279052734375,,
06/06/2017 09:30 (UTC),-68.42767333984375,-176.43231201171875,,
06/06/2017 09:45 (UTC),-68.42727661132812,-176.44163513183594,,
06/06/2017 10:00 (UTC),-68.4268569946289,-176.4509735107422,,
06/06/2017 10:15 (UTC),-68.4261474609375,-176.46005249023438,,
06/06/2017 10:30 (UTC),-68.42530822753906,-176.46896362304688,,
06/06/2017 10:45 (UTC),-68.4243392944336,-176.47747802734375,,
06/06/2017 11:00 (UTC),-68.42328643798828,-176.48568725585938,,
06/06/2017 11:15 (UTC),-68.42195892333984,-176.49380493164062,,
06/06/2017 11:30 (UTC),-68.42057800292969,-176.50167846679688,,
06/06/2017 11:45 (UTC),-68.4190902709961,-176.5091552734375,,
06/06/2017 12:15 (UTC),-68.41583251953125,-176.52381896972656,,
06/06/2017 12:30 (UTC),-68.41390991210938,-176.53109741210938,,
06/06/2017 12:45 (UTC),-68.4120101928711,-176.53846740722656,,
06/06/2017 13:00 (UTC),-68.40989685058594,-176.54640197753906,,
06/06/2017 13:15 (UTC),-68.40768432617188,-176.55380249023438,,
06/06/2017 13:30 (UTC),-68.4052505493164,-176.56072998046875,,
06/06/2017 13:45 (UTC),-68.40270233154297,-176.56820678710938,,
06/06/2017 14:00 (UTC),-68.40013122558594,-176.57562255859375,,
06/06/2017 14:15 (UTC),-68.39767456054688,-176.5823211669922,,
06/06/2017 14:30 (UTC),-68.3946304321289,-176.58897399902344,,
06/06/2017 14:45 (UTC),-68.39181518554688,-176.5948944091797,,
06/06/2017 15:00 (UTC),-68.38883209228516,-176.60122680664062,,
06/06/2017 15:15 (UTC),-68.38558959960938,-176.60755920410156,,
06/06/2017 15:30 (UTC),-68.38245391845703,-176.61349487304688,,
06/06/2017 15:45 (UTC),-68.37922668457031,-176.61952209472656,,
06/06/2017 16:00 (UTC),-68.37609100341797,-176.6253204345703,,
06/06/2017 16:15 (UTC),-68.37272644042969,-176.63099670410156,,
06/06/2017 16:30 (UTC),-68.36949157714844,-176.63571166992188,,
06/06/2017 16:45 (UTC),-68.36612701416016,-176.6403350830078,,
06/06/2017 17:00 (UTC),-68.36280822753906,-176.64358520507812,,
06/06/2017 17:15 (UTC),-68.35952758789062,-176.64691162109375,0.1136309799224907,17.066666666666666
06/06/2017 17:30 (UTC),-68.35615539550781,-176.6480255126953,0.1315142557005579,21.333333333333332
06/06/2017 17:45 (UTC),-68.3528060913086,-176.6493682861328,0.1698940846310107,19.692307692307693
06/06/2017 18:15 (UTC),-68.34599304199219,-176.65084838867188,0.27132268248288577,15.058823529411764
06/06/2017 18:30 (UTC),-68.34265899658203,-176.6507568359375,0.33893952710633873,19.692307692307693
06/06/2017 18:45 (UTC),-68.33927154541016,-176.65060424804688,0.32907141708725146,15.058823529411764
06/06/2017 19:00 (UTC),-68.33573150634766,-176.64974975585938,0.34760898097294535,17.066666666666666
06/06/2017 19:15 (UTC),-68.3322525024414,-176.6488800048828,0.5328414305050928,15.058823529411764
06/06/2017 19:30 (UTC),-68.328857421875,-176.6482696533203,0.4973851613868801,19.692307692307693
06/06/2017 19:45 (UTC),-68.3252944946289,-176.64723205566406,0.5442793418061036,16.0
06/06/2017 20:00 (UTC),-68.32182312011719,-176.64572143554688,0.7934431338927174,17.066666666666666
06/06/2017 20:15 (UTC),-68.31848907470703,-176.6443328857422,0.5952881665400468,16.0
06/06/2017 20:30 (UTC),-68.31558227539062,-176.64337158203125,0.797977432911849,17.066666666666666
06/06/2017 20:45 (UTC),-68.31246948242188,-176.64219665527344,0.6955975794635992,17.066666666666666
06/06/2017 21:00 (UTC),-68.3094482421875,-176.64146423339844,0.9061214092708152,18.285714285714285
06/06/2017 21:15 (UTC),-68.30615997314453,-176.6400604248047,0.8517276708723216,16.0
06/06/2017 21:30 (UTC),-68.30335998535156,-176.63914489746094,0.9752866115880446,16.0
06/06/2017 21:45 (UTC),-68.30004119873047,-176.6377410888672,0.9269131529267967,16.0
06/06/2017 22:00 (UTC),-68.29705810546875,-176.63665771484375,0.9816720577236602,17.066666666666666
06/06/2017 22:15 (UTC),-68.29407501220703,-176.63565063476562,0.9917499749001186,18.285714285714285
06/06/2017 22:30 (UTC),-68.29109954833984,-176.63497924804688,1.343601129846305,16.0
06/06/2017 22:45 (UTC),-68.28833770751953,-176.63470458984375,0.9057151926434941,18.285714285714285
06/06/2017 23:00 (UTC),-68.2855453491211,-176.63436889648438,1.1247968490282423,17.066666666666666
06/06/2017 23:15 (UTC),-68.28287506103516,-176.63424682617188,1.1838851418941336,15.058823529411764
06/06/2017 23:30 (UTC),-68.28006744384766,-176.63372802734375,1.1502764763408013,16.0
06/06/2017 23:45 (UTC),-68.27749633789062,-176.6331787109375,1.4097091938329207,16.0
07/06/2017 00:15 (UTC),-68.27233123779297,-176.63247680664062,0.9673634419926986,15.058823529411764
07/06/2017 00:30 (UTC),-68.26969146728516,-176.6320343017578,0.9952366451180941,15.058823529411764
07/06/2017 00:45 (UTC),-68.26727294921875,-176.6324462890625,1.1365351053397144,16.0
